eval_runtime,eval_balanced_accuracy,epoch,eval_f1_score,eval_loss,eval_recall,eval_precision,eval_samples_per_second,eval_accuracy,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1.0906,0.5756810865774181,5.0,0.8386702019171937,0.515002965927124,0.9813842482100239,0.7321937321937322,2751.645,0.7364211929356881,86.189,16.5194,60.535,0.303,0.451090145111084
1.1137,0.6896331536771563,4.62,0.8404545454545455,0.5589021444320679,0.8825775656324583,0.8021691973969631,2694.742,0.7660779740086637,84.407,12.9377,154.588,0.386,0.8845839500427246
1.1,0.7495050235238954,4.84,0.8708199725148879,0.4541947841644287,0.9073985680190931,0.8370761778952004,2728.274,0.8120626457847384,85.457,14.2492,210.538,0.702,0.6357738018035889
1.1177,0.7674772268672915,4.96,0.8641741599621392,0.4217797815799713,0.871599045346062,0.8568747067104646,2684.911,0.8087304231922693,84.099,15.9238,251.196,0.942,0.5556883017222086
1.1026,0.7705798521656209,5.0,0.867657466383581,0.40361565351486206,0.8778042959427208,0.8577425373134329,2721.819,0.8130623125624792,85.255,17.8191,280.598,1.122,0.541446042060852
1.1284,0.793773675364976,4.84,0.877584977418588,0.40748199820518494,0.881145584725537,0.8740530303030303,2659.41,0.8283905364878373,83.3,19.1409,313.465,1.045,0.6518989324569702
1.1007,0.7948028787136407,4.91,0.8783269961977187,0.39587557315826416,0.8821002386634845,0.8745858968291529,2726.371,0.8293902032655781,85.398,20.7244,337.766,1.206,0.6134536266326904
1.1202,0.7902392957056379,4.96,0.8837426900584796,0.37212300300598145,0.9016706443914081,0.8665137614678899,2679.069,0.8343885371542819,83.916,22.1201,361.662,1.356,0.5447508255640666
1.1141,0.7883900488390838,4.98,0.886463895983283,0.3722911775112152,0.911217183770883,0.8630198915009042,2693.602,0.8370543152282572,84.371,24.0744,373.841,1.454,0.5344607523509435
1.1206,0.7986515249701012,4.89,0.885014137606032,0.3711482882499695,0.8964200477326969,0.8738948348068869,2678.109,0.8373875374875042,83.886,25.7608,388.186,1.359,0.6007794584546771
1.1025,0.8036033971349845,4.93,0.885680473372781,0.36927786469459534,0.8930787589498806,0.8784037558685446,2722.018,0.8390536487837388,85.261,27.4138,401.258,1.459,0.56274573802948
1.118,0.8005012986876143,4.96,0.8886283704572099,0.3740994930267334,0.9045346062052506,0.8732718894009217,2684.337,0.8417194268577141,84.081,29.0945,412.449,1.547,0.5479660087161594
1.1248,0.7959371888286522,4.98,0.8875905585417153,0.36795780062675476,0.9064439140811456,0.8695054945054945,2668.081,0.8397200933022326,83.572,31.2505,415.994,1.6,0.5380126714706421
1.1221,0.801903249089865,5.0,0.8877911079745942,0.3720172643661499,0.9007159904534606,0.8752319109461967,2674.378,0.8410529823392202,83.769,33.0463,423.648,1.664,0.5256437041542746
1.1076,0.7989352342115938,4.94,0.8888888888888888,0.38178175687789917,0.9069212410501193,0.8715596330275229,2709.583,0.8417194268577141,84.872,34.3401,436.807,1.602,0.5532584710554643
1.1207,0.8062437107166753,4.96,0.8897786151672162,0.3732092082500458,0.9016706443914081,0.8781961878196188,2677.827,0.8440519826724425,83.877,36.3947,439.624,1.649,0.5460121313730876
1.1186,0.8032456653337338,4.97,0.888470588235294,0.3752041161060333,0.9011933174224344,0.8761020881670534,2682.79,0.842052649116961,84.033,37.9463,448.002,1.713,0.529844383093027
1.1056,0.8009636104042528,4.99,0.8879492600422833,0.3888278305530548,0.9021479713603818,0.8741905642923219,2714.259,0.8410529823392202,85.018,39.8164,452.076,1.758,0.5115245921271188
1.122,0.8082125527509523,4.94,0.8903560481018628,0.3858056366443634,0.9011933174224344,0.8797763280521901,2674.624,0.8450516494501833,83.777,40.8793,464.783,1.712,0.5482449463435581
1.1252,0.8044389827561682,4.96,0.8897767332549941,0.3804630935192108,0.9035799522673031,0.8763888888888889,2667.134,0.8437187604131956,83.542,42.8998,466.203,1.748,0.5470408757527669
1.1078,0.8074069976344391,4.97,0.8886787993382179,0.4037671983242035,0.8973747016706444,0.8801498127340824,2708.914,0.8430523158947018,84.851,44.7014,469.784,1.79,0.5162112265825272
1.0982,0.8062136802120048,4.99,0.8873639375295788,0.3982865810394287,0.8949880668257757,0.8798686062881277,2732.538,0.8413862045984671,85.591,45.9891,478.375,1.848,0.5169298466514138
1.1326,0.8149991833810133,5.0,0.8934561776517835,0.38502997159957886,0.9026252983293556,0.8844714686623012,2649.597,0.8497167610796401,82.993,48.0498,478.67,1.873,0.5154480245378282
1.1196,0.8111660792278472,4.96,0.8943661971830986,0.39487552642822266,0.9093078758949881,0.8799076212471132,2680.533,0.850049983338887,83.962,49.2479,487.33,1.827,0.5386983421113756
1.1308,0.8094804195841039,4.97,0.8913504595804855,0.38966336846351624,0.9026252983293556,0.8803538175046555,2653.92,0.846384538487171,83.128,50.7764,492.355,1.871,0.5314649293297216
1.1171,0.8085407808984917,4.98,0.891503883266651,0.4072507321834564,0.9040572792362769,0.8792943361188487,2686.384,0.846384538487171,84.145,52.6243,494.068,1.9,0.519918372631073
1.1107,0.806407824790445,4.99,0.8903529411764706,0.43106260895729065,0.9031026252983294,0.8779582366589327,2701.871,0.8447184271909364,84.63,54.186,498.284,1.938,0.5008191347122193
1.1121,0.8109719346494071,4.96,0.8914069877242682,0.39957213401794434,0.9011933174224344,0.88183092013078,2698.448,0.8467177607464179,84.523,55.1429,507.772,1.904,0.5388588576089768
1.0999,0.8145518869167101,4.97,0.8953187485297577,0.4080117344856262,0.9083532219570406,0.8826530612244898,2728.464,0.8517160946351217,85.463,57.1323,507.594,1.925,0.5244487155567515
1.1224,0.8093463360150047,4.98,0.8931674101901855,0.3877105116844177,0.9078758949880669,0.8789279112754159,2673.621,0.8483838720426524,83.746,58.6701,511.334,1.96,0.5398153470910114
1.1175,0.8134776378110395,4.99,0.8909952606635071,0.4339038133621216,0.8973747016706444,0.8847058823529412,2685.348,0.8467177607464179,84.113,60.3963,513.276,1.987,0.5057893455028534
1.1086,0.8153274115285527,5.0,0.8946003301108229,0.42466041445732117,0.9054892601431981,0.8839701770736254,2706.968,0.8510496501166278,84.79,62.0403,515.794,2.015,0.5102305574417114
1.1216,0.8144623222536577,4.97,0.8944392082940622,0.4300755560398102,0.9059665871121718,0.8832014890646812,2675.556,0.8507164278573809,83.806,63.4609,520.006,1.97,0.515077021598816
1.1387,0.8151037632964011,4.98,0.8955294117647058,0.43431711196899414,0.9083532219570406,0.8830626450116009,2635.383,0.8520493168943686,82.548,65.1399,521.953,1.996,0.5199785966139573
1.1286,0.8094058701733866,4.99,0.8916627414036741,0.4231894910335541,0.9035799522673031,0.8800557880055788,2659.161,0.8467177607464179,83.293,66.897,523.193,2.018,0.5229633702172174
1.1226,0.8241274030989374,5.0,0.8956004756242568,0.44195571541786194,0.8988066825775657,0.8924170616113745,2673.241,0.8537154281906031,83.734,68.4317,526.072,2.046,0.5037409203393118
1.1171,0.8097936324793079,5.0,0.8912992218816317,0.46489736437797546,0.9021479713603818,0.880708294501398,2686.511,0.846384538487171,84.149,70.1709,527.284,2.066,0.49679231232610244
1.1223,0.8124784649670456,4.97,0.8926633640009437,0.4559921324253082,0.9031026252983294,0.8824626865671642,2674.085,0.8483838720426524,83.76,71.4516,531.829,2.029,0.5166374946462697
1.1199,0.8147755351488617,4.98,0.8943894389438943,0.4309858977794647,0.9054892601431981,0.8835584536562645,2679.644,0.8507164278573809,83.934,73.2554,532.384,2.048,0.5194741169611613
1.0876,0.8149991833810133,4.99,0.8934561776517835,0.4539075493812561,0.9026252983293556,0.8844714686623012,2759.245,0.8497167610796401,86.428,74.5499,536.553,2.079,0.5028877181391562
1.1122,0.817072605330678,5.0,0.896113074204947,0.4472167193889618,0.9078758949880669,0.8846511627906977,2698.27,0.8530489836721094,84.518,76.5537,535.572,2.09,0.5016567409038544
1.1049,0.8190114168602844,4.97,0.8943127962085308,0.4300696849822998,0.9007159904534606,0.888,2716.068,0.8513828723758747,85.075,77.7488,540.202,2.058,0.5197628334164619
1.0917,0.8150442291380191,4.98,0.8970208773164439,0.4404120445251465,0.9126491646778043,0.8819188191881919,2748.89,0.8537154281906031,86.103,78.9977,544.32,2.089,0.5163025827118845
1.106,0.8202942989457712,4.99,0.8965028355387524,0.45383939146995544,0.9054892601431981,0.8876930276087974,2713.331,0.85404865044985,84.989,81.2874,541.29,2.091,0.5070323369082282
1.1235,0.8184150215745467,4.99,0.8967954759660698,0.4530327320098877,0.9083532219570406,0.8855281526291299,2671.124,0.85404865044985,83.667,82.9525,542.479,2.11,0.4979719434465681
1.1273,0.8206225270933105,5.0,0.8976415094339623,0.45016252994537354,0.9083532219570406,0.8871794871794871,2662.08,0.8553815394868377,83.384,84.5731,543.908,2.128,0.4984591550297207
1.1177,0.8218903939264621,4.98,0.8986327204148986,0.4515913426876068,0.9097852028639618,0.887750349324639,2685.086,0.8567144285238254,84.105,85.9702,546.701,2.094,0.49908086193932427
1.1862,0.8176990311210861,4.99,0.8960150907804763,0.4773474633693695,0.9069212410501193,0.8853681267474371,2530.004,0.8530489836721094,79.247,91.7412,523.211,2.017,0.4823741829073107
1.0996,0.8195783084923106,4.99,0.8957200283755025,0.4790041148662567,0.9040572792362769,0.887535145267104,2729.273,0.8530489836721094,85.489,89.5703,547.056,2.121,0.47610874426992317
1.1259,0.8182659227531124,5.0,0.8974117647058824,0.4682844579219818,0.9102625298329355,0.8849187935034802,2665.519,0.8547150949683439,83.492,90.7252,551.115,2.149,0.4730064074198405
1.1054,0.8266781520175758,4.98,0.8987911827447262,0.4682118594646454,0.9050119331742243,0.8926553672316384,2714.882,0.8577140953015662,85.038,92.2405,552.903,2.114,0.4804316007173978
1.1145,0.8235905419715817,4.98,0.896584440227704,0.4598206877708435,0.9021479713603818,0.8910891089108911,2692.756,0.8547150949683439,84.345,93.8217,554.243,2.132,0.4815418863296509
1.1019,0.8212189223790483,4.99,0.8951612903225807,0.48655053973197937,0.9007159904534606,0.8896746817538896,2723.361,0.8527157614128624,85.304,95.8853,552.744,2.138,0.4675894039433177
1.1157,0.8263198933653659,4.99,0.8952517298973993,0.4813214838504791,0.8954653937947494,0.8950381679389313,2689.684,0.8537154281906031,84.249,97.3792,554.533,2.157,0.4516963107245309
1.0964,0.825828077995016,5.0,0.899810964083176,0.4813377261161804,0.9088305489260143,0.8909686476368741,2737.083,0.8587137620793069,85.733,99.2945,553.908,2.165,0.4496029510054477
1.1142,0.8220840116539432,4.98,0.8953239971516734,0.48142293095588684,0.9002386634844869,0.890462700661001,2693.513,0.8530489836721094,84.369,100.2887,558.388,2.144,0.4528161331664684
1.1026,0.8293779997576486,4.99,0.901348474095103,0.470641165971756,0.9093078758949881,0.8935272045028143,2721.846,0.8610463178940353,85.256,102.3966,556.659,2.149,0.4485249649394642
1.1011,0.8246347605725817,4.99,0.8985095812633074,0.4965754449367523,0.9064439140811456,0.8907129455909943,2725.467,0.8570476507830723,85.37,103.5791,559.959,2.172,0.43934662024180093
1.1115,0.8250075076261676,5.0,0.8969610636277303,0.48917874693870544,0.9016706443914081,0.8923004251299008,2699.987,0.8553815394868377,84.571,105.3037,560.284,2.184,0.4355860876000446
1.1113,0.8239933195298382,4.98,0.8974176735370766,0.4820706248283386,0.9040572792362769,0.8908748824082785,2700.333,0.8557147617460846,84.582,106.5378,563.181,2.159,0.4411299757335497
1.1115,0.832495113457354,4.98,0.8996902549440077,0.4922567307949066,0.9011933174224344,0.8981921979067554,2699.937,0.8597134288570476,84.57,108.1608,563.975,2.173,0.4279504953546727
