eval_runtime,eval_balanced_accuracy,epoch,eval_f1_score,eval_loss,eval_recall,eval_precision,eval_samples_per_second,eval_accuracy,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1.0593,0.5125730347142097,5.0,0.8167434408171439,0.6004629135131836,0.9732696897374702,0.7035886818495514,2832.968,0.6951016327890703,88.737,11.6837,85.589,0.428,0.5194174766540527
1.0725,0.5282342063253725,5.0,0.8192478770723818,0.5730172395706177,0.9670644391408114,0.710627849877236,2798.133,0.7020993002332556,87.646,11.5334,86.705,0.434,0.5143133640289307
1.0849,0.5851069770872518,5.0,0.8328482328482328,0.5210407376289368,0.9560859188544153,0.7377532228360958,2766.223,0.7320893035654782,86.646,11.5242,86.774,0.434,0.4728421211242676
1.0817,0.7115156448392315,5.0,0.8645161290322579,0.43989795446395874,0.9274463007159904,0.8095833333333333,2774.284,0.7970676441186271,86.899,11.5642,86.474,0.432,0.4741941452026367
1.085,0.7813476320683642,5.0,0.8553274682306939,0.4377228319644928,0.8353221957040573,0.8763144717075614,2765.973,0.8027324225258248,86.638,11.537,86.677,0.433,0.46217074394226076
1.0851,0.771744192785303,5.0,0.8794457274826789,0.3903690278530121,0.9088305489260143,0.8519015659955257,2765.603,0.826057980673109,86.627,11.6877,85.56,0.428,0.4521517276763916
1.1008,0.7742059038918481,5.0,0.8879271070615035,0.381686806678772,0.930310262529833,0.8492374727668845,2726.26,0.8360546484505165,85.394,11.5232,86.782,0.434,0.39062156677246096
1.1288,0.797173444604256,5.0,0.8664066309117503,0.39617621898651123,0.8482100238663485,0.885401096163428,2658.494,0.8173942019326891,83.272,11.5968,86.231,0.431,0.4181316375732422
1.0895,0.8020067753033344,5.0,0.8769822200864968,0.38256967067718506,0.8711217183770883,0.8829221093372037,2754.501,0.8293902032655781,86.279,11.856,84.345,0.422,0.3631594657897949
1.0917,0.7888223300510518,5.0,0.8833839682168731,0.39729705452919006,0.9021479713603818,0.8653846153846154,2748.901,0.8337220926357881,86.104,11.5975,86.225,0.431,0.4371995449066162
1.1084,0.7987705932868651,5.0,0.8819345661450925,0.37845245003700256,0.8878281622911695,0.8761186999528968,2707.614,0.834055314895035,84.81,11.5815,86.344,0.432,0.4207790374755859
1.1052,0.7874504101534717,5.0,0.8866218409459773,0.426734983921051,0.9126491646778043,0.8620378719567178,2715.234,0.8370543152282572,85.049,11.7828,84.87,0.424,0.38049001693725587
1.1162,0.770506356456822,5.0,0.8808647654093836,0.45637017488479614,0.9140811455847255,0.8499778073679538,2688.619,0.8273908697100967,84.215,11.5723,86.413,0.432,0.39739015102386477
1.1163,0.7593642489476152,5.0,0.8747414387497127,0.4659281075000763,0.9083532219570406,0.8435283687943262,2688.456,0.8183938687104299,84.21,11.5974,86.226,0.431,0.4470810413360596
1.0901,0.7763378062979764,5.0,0.8764884426803642,0.4476310908794403,0.8959427207637232,0.8578610603290676,2752.848,0.8237254248583805,86.227,11.5995,86.21,0.431,0.4228800296783447
1.0979,0.7876885467869994,5.0,0.8805444731283737,0.46246352791786194,0.8954653937947494,0.866112650046168,2733.461,0.8303898700433189,85.62,11.5781,86.37,0.432,0.37210497856140134
1.0947,0.7926699226055941,5.0,0.877167973390354,0.44762277603149414,0.881145584725537,0.8732261116367077,2741.343,0.8277240919693436,85.867,11.5476,86.598,0.433,0.42083115577697755
1.0813,0.7826771404637343,5.0,0.8814348940135103,0.42688319087028503,0.9031026252983294,0.8607825295723385,2775.455,0.8303898700433189,86.935,11.9427,83.733,0.419,0.4454862117767334
1.0911,0.7854815681191948,5.0,0.8860583603520149,0.42865854501724243,0.9131264916467781,0.860548807917229,2750.318,0.8360546484505165,86.148,11.5934,86.256,0.431,0.4104453563690186
1.0971,0.8066604498253489,5.0,0.8789410348977136,0.4084022045135498,0.871599045346062,0.8864077669902912,2735.511,0.8323892035988004,85.684,11.862,84.303,0.422,0.48171072006225585
1.1214,0.784511898928912,5.0,0.8838289962825279,0.41035792231559753,0.9078758949880669,0.8610230873698506,2676.016,0.8333888703765412,83.821,11.8557,84.348,0.422,0.40501060485839846
1.1089,0.7973686428846144,5.0,0.8827977315689981,0.43249136209487915,0.8916467780429594,0.8741226017781937,2706.282,0.8347217594135288,84.769,11.7529,85.085,0.425,0.3484351634979248
1.0956,0.808284994757833,5.0,0.8633879781420765,0.44709062576293945,0.8295942720763723,0.9000517866390472,2739.245,0.8167277574141952,85.801,11.9994,83.338,0.417,0.429624605178833
1.0827,0.801843714931483,5.0,0.8893058161350844,0.40126532316207886,0.9050119331742243,0.8741355463347165,2771.761,0.8427190936354548,86.82,11.6962,85.498,0.427,0.42247729301452636
1.1167,0.8142526355719231,5.0,0.8838104402213134,0.4056965112686157,0.8768496420047732,0.8908826382153249,2687.394,0.8390536487837388,84.177,11.8727,84.227,0.421,0.372993540763855
1.0893,0.7981296790950808,5.0,0.887221570926143,0.4113205671310425,0.9031026252983294,0.871889400921659,2755.023,0.8397200933022326,86.295,11.7608,85.028,0.425,0.31536102294921875
1.1473,0.8038275722180952,5.0,0.8910751932536893,0.40190961956977844,0.9078758949880669,0.874885004599816,2615.603,0.8450516494501833,81.928,11.6862,85.571,0.428,0.38186492919921877
1.1143,0.8061101539985354,5.0,0.8977983777520278,0.4215683341026306,0.924582338902148,0.8725225225225225,2693.202,0.8530489836721094,84.359,11.7273,85.271,0.426,0.32109143733978274
1.1034,0.8113296664506577,5.0,0.8886250296841606,0.41263702511787415,0.8930787589498806,0.8842155009451795,2719.681,0.8437187604131956,85.188,11.8194,84.607,0.423,0.39477949142456054
1.0877,0.8101964100375645,5.0,0.8921337729627886,0.414849191904068,0.9040572792362769,0.8805206880520688,2759.121,0.8473842052649116,86.424,11.6894,85.548,0.428,0.34827532768249514
1.114,0.8181162970807189,5.0,0.8917439923863906,0.3843359053134918,0.894510739856802,0.8889943074003795,2693.828,0.8483838720426524,84.378,11.7698,84.963,0.425,0.4065261363983154
1.1114,0.8143727575906052,5.0,0.8935567618598065,0.3730117976665497,0.9035799522673031,0.8837535014005602,2700.301,0.8497167610796401,84.581,11.9793,83.477,0.417,0.409580135345459
1.0983,0.8140295141907306,5.0,0.8912064470253614,0.3765072226524353,0.8973747016706444,0.8851224105461394,2732.481,0.8470509830056647,85.589,11.9549,83.647,0.418,0.3857994794845581
1.1294,0.8184445252282582,5.0,0.8928995488007598,0.38368359208106995,0.8973747016706444,0.888468809073724,2657.123,0.8497167610796401,83.229,11.7596,85.037,0.425,0.33642802238464353
1.127,0.8168489570985265,5.0,0.8970380818053596,0.374661922454834,0.9107398568019093,0.8837424733672997,2662.785,0.85404865044985,83.406,11.7487,85.116,0.426,0.3449345350265503
1.0842,0.8273040509570249,5.0,0.8923594425756848,0.38811448216438293,0.8863961813842482,0.8984034833091437,2767.934,0.8507164278573809,86.7,11.7743,84.93,0.425,0.3661665439605713
1.1182,0.8022320040883635,5.0,0.8951762523191095,0.39703506231307983,0.9212410501193318,0.8705457825890843,2683.773,0.8493835388203932,84.064,11.854,84.36,0.422,0.3909444808959961
1.0883,0.8229491009288383,5.0,0.8954869358669834,0.40365108847618103,0.8997613365155132,0.8912529550827423,2757.481,0.8533822059313562,86.372,11.7806,84.885,0.424,0.3806671857833862
