eval_runtime,eval_balanced_accuracy,epoch,eval_f1_score,eval_loss,eval_recall,eval_precision,eval_samples_per_second,eval_accuracy,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1.1216,0.5401663268477981,5.0,0.8188139059304703,0.5781400799751282,0.9556085918854416,0.7162790697674418,2675.569,0.7047650783072309,83.807,16.2247,61.635,0.308,0.47956647872924807
1.1193,0.6731529922500223,4.62,0.8539031836022677,0.554751992225647,0.9346062052505967,0.786029706945002,2681.022,0.7767410863045652,83.977,12.6404,158.222,0.396,0.9140490531921387
1.1012,0.7604529864546619,4.84,0.8739340861949758,0.479221373796463,0.9050119331742243,0.8449197860962567,2725.138,0.817727424191936,85.359,13.9546,214.983,0.717,0.666745662689209
1.1167,0.7756212889935565,4.96,0.8691743553347527,0.43491241335868835,0.8768496420047732,0.8616322701688556,2687.388,0.8157280906364545,84.177,15.6482,255.62,0.959,0.5809560775756836
1.1187,0.7915806582475884,5.0,0.8714011516314779,0.40125641226768494,0.8668257756563246,0.8760250844187168,2682.683,0.8213928690436522,84.029,17.7974,280.939,1.124,0.5371747732162475
1.1216,0.7844368226672357,4.84,0.8777621062529385,0.4004056453704834,0.8911694510739857,0.8647522000926354,2675.685,0.8267244251916028,83.81,19.4628,308.28,1.028,0.6470004081726074
1.1176,0.7916407192569295,4.91,0.876425855513308,0.3941445052623749,0.8801909307875895,0.8726928537624231,2685.184,0.8267244251916028,84.108,21.0099,333.176,1.19,0.5941031646728515
1.096,0.7812451595568131,4.96,0.8798693725215768,0.37639251351356506,0.9002386634844869,0.8604014598540146,2738.018,0.8283905364878373,85.763,22.4006,357.133,1.339,0.5647886991500854
1.0953,0.7897169229796583,4.98,0.879566344567523,0.3748481273651123,0.890692124105012,0.8687150837988827,2739.958,0.829723425524825,85.823,24.7847,363.127,1.412,0.5437759195055281
1.1131,0.7948329092183113,4.89,0.8807947019867549,0.3716539144515991,0.8887828162291169,0.8729488982653539,2696.002,0.8320559813395535,84.447,25.7401,388.499,1.36,0.6105244977133615
1.1179,0.7928345635303229,4.93,0.8842006563525551,0.37677639722824097,0.9002386634844869,0.8687240902809765,2684.453,0.8353882039320226,84.085,27.2008,404.401,1.471,0.5658084154129028
1.1075,0.7911789343912501,4.96,0.8835792925743734,0.38181519508361816,0.9002386634844869,0.8675252989880404,2709.692,0.8343885371542819,84.875,29.199,410.972,1.541,0.5515499989191691
1.108,0.7923722518136844,4.98,0.8848853532990174,0.38255104422569275,0.9026252983293556,0.8678292794860027,2708.376,0.8360546484505165,84.834,30.9862,419.542,1.614,0.5434319591522216
1.1024,0.7986665402224364,5.0,0.8862247296661966,0.39518818259239197,0.8997613365155132,0.87308939323761,2722.307,0.8387204265244919,85.271,32.6453,428.851,1.685,0.5252689708362926
1.1616,0.8047521956513722,4.94,0.8897249000705385,0.3677045702934265,0.9031026252983294,0.8767377201112141,2583.464,0.8437187604131956,80.922,34.1316,439.476,1.611,0.5755879922346635
1.1048,0.8043494180931157,4.96,0.888888888888889,0.3902507722377777,0.9011933174224344,0.8769159312587088,2716.314,0.8427190936354548,85.083,35.5898,449.567,1.686,0.5519142230351766
1.1132,0.8078843246034129,4.97,0.8892038743208127,0.3951071798801422,0.8983293556085918,0.8802619270346118,2695.796,0.8437187604131956,84.44,37.9821,447.58,1.711,0.5347129968496469
1.1271,0.8046476157359844,4.99,0.8876298394711991,0.3987448811531067,0.8973747016706444,0.8780943484353106,2662.471,0.8413862045984671,83.396,39.9403,450.673,1.753,0.526134010723659
1.1143,0.8090926572781826,4.94,0.8917137476459511,0.3836047947406769,0.9040572792362769,0.8797027403622851,2693.183,0.8467177607464179,84.358,41.0606,462.731,1.705,0.5711088725498744
1.1265,0.8071087999915704,4.96,0.88993636577893,0.40410536527633667,0.9011933174224344,0.8789571694599627,2664.106,0.8443852049316894,83.448,42.6132,469.338,1.76,0.534685673713684
1.1134,0.8053936366941157,4.97,0.8908194411833764,0.4042147994041443,0.9054892601431981,0.8766173752310537,2695.325,0.8450516494501833,84.425,44.5812,471.051,1.794,0.5409041434526444
1.117,0.8092717866042876,4.99,0.8934772407320507,0.4042346477508545,0.9088305489260143,0.8786340562990309,2686.667,0.8487170943018993,84.154,46.1981,476.21,1.84,0.5282529255923103
