eval_runtime,eval_balanced_accuracy,epoch,eval_f1_score,eval_loss,eval_recall,eval_precision,eval_samples_per_second,eval_accuracy,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1.1792,0.646722987034198,5.0,0.8498074454428755,0.5400263071060181,0.9479713603818616,0.7700659170221016,2544.869,0.7660779740086637,79.713,12.1941,82.007,0.41,0.49391422271728513
1.1263,0.5795436943842956,4.62,0.8337807144332027,0.543096125125885,0.9637231503579953,0.7347161572052402,2664.589,0.7317560813062313,83.463,12.8288,155.899,0.39,0.8735784530639649
1.1888,0.6901715953573894,4.84,0.8588390501319261,0.464796245098114,0.9322195704057279,0.7961679576029351,2524.459,0.7860713095634788,79.073,14.0569,213.419,0.711,0.6006629467010498
1.1684,0.756395707218385,4.96,0.8695048588616382,0.4179098606109619,0.8968973747016706,0.8437359676695105,2568.531,0.8120626457847384,80.454,16.2194,246.619,0.925,0.4988616625467936
1.1791,0.7818260127392562,5.0,0.8695238095238095,0.3963486850261688,0.871599045346062,0.867458432304038,2545.102,0.8173942019326891,79.72,18.3782,272.062,1.088,0.44959330558776855
1.1884,0.7758604793290027,4.84,0.8759635599159075,0.3857322633266449,0.8949880668257757,0.8577310155535224,2525.211,0.8230589803398867,79.097,19.3054,310.793,1.036,0.5355482339859009
1.1095,0.7745330783374691,4.91,0.8765144454799627,0.3839062452316284,0.8978520286396181,0.8561675011379153,2704.814,0.8233922025991336,84.723,20.8849,335.17,1.197,0.4634771728515625
1.1241,0.7926398921009236,4.96,0.874671759369778,0.39242663979530334,0.8744630071599045,0.874880611270296,2669.62,0.8250583138953682,83.62,22.7486,351.671,1.319,0.41085362434387207
1.1755,0.7926994262593055,4.98,0.8730842911877394,0.4163362383842468,0.8701670644391408,0.8760211436809227,2553.014,0.8233922025991336,79.968,24.4462,368.156,1.432,0.3915855663163321
1.1482,0.7854660260159003,4.89,0.8784958871915394,0.4040149748325348,0.8921241050119332,0.8652777777777778,2613.564,0.8277240919693436,81.864,25.6176,390.357,1.366,0.43609259128570554
1.1757,0.788777284294046,4.93,0.8797364085667218,0.4134759306907654,0.8921241050119332,0.8676880222841226,2552.476,0.829723425524825,79.951,27.1799,404.711,1.472,0.4106343865394592
1.0805,0.7919088863951277,4.96,0.8726053639846745,0.4432251453399658,0.8696897374701671,0.8755406054781355,2777.308,0.8227257580806397,86.993,28.6377,419.028,1.571,0.38938637839423285
1.0825,0.788105812746632,4.98,0.8761543926118873,0.45593515038490295,0.883054892601432,0.8693609022556391,2772.237,0.8257247584138621,86.834,29.9962,433.389,1.667,0.36911979675292966
1.1167,0.7786348764797926,5.0,0.8782081194587028,0.4747283160686493,0.8983293556085918,0.8589685075308079,2687.487,0.826057980673109,84.18,32.0808,436.399,1.714,0.3517746871167963
1.0881,0.7911489038865795,4.94,0.8811485055307131,0.44775158166885376,0.8935560859188544,0.8690807799442897,2757.894,0.8317227590803066,86.385,33.3838,449.32,1.648,0.3726279973983765
